"","dep_delay","carrier","dep_time"
"1",35,"WN",730
"2",-6,"AA",1714
"3",-3,"US",1442
"4",-1,"9E",1444
"5",-2,"EV",1428
"6",13,"MQ",613
"7",-2,"9E",848
"8",23,"DL",1918
"9",-10,"MQ",825
"10",-4,"DL",656
"11",6,"US",1636
"12",NA,"MQ",NA
"13",7,"MQ",1902
"14",-9,"MQ",1316
"15",NA,"AA",NA
"16",4,"UA",1533
"17",-6,"B6",1753
"18",5,"B6",745
"19",-8,"B6",1321
"20",64,"EV",2233
"21",87,"DL",2027
"22",-6,"EV",824
"23",-4,"UA",834
"24",-4,"MQ",1156
"25",0,"DL",1700
"26",92,"EV",1432
"27",-3,"B6",657
"28",-7,"EV",1453
"29",-3,"B6",2027
"30",114,"DL",2254
"31",33,"DL",1943
"32",-2,"AA",2013
"33",7,"UA",618
"34",-1,"UA",1439
"35",-1,"B6",2044
"36",6,"WN",1346
"37",-6,"B6",554
"38",40,"MQ",1835
"39",-3,"B6",729
"40",7,"UA",757
"41",-3,"EV",1627
"42",25,"B6",1517
"43",1,"UA",1418
"44",-4,"B6",1041
"45",0,"UA",1310
"46",-5,"DL",1930
"47",-11,"MQ",1444
"48",-14,"B6",1745
"49",-2,"DL",1858
"50",49,"UA",1753
"51",2,"EV",1202
"52",-3,"9E",1607
"53",-10,"MQ",655
"54",101,"UA",2103
"55",-11,"US",604
"56",-7,"DL",1228
"57",-4,"WN",746
"58",34,"B6",2049
"59",232,"EV",1920
"60",4,"EV",1554
"61",18,"B6",1648
"62",NA,"9E",NA
"63",-3,"B6",1241
"64",-8,"AA",1912
"65",-1,"WN",1259
"66",19,"MQ",1954
"67",-9,"EV",1006
"68",64,"AA",1634
"69",-6,"DL",2054
"70",59,"EV",2154
"71",-3,"EV",842
"72",12,"DL",1512
"73",29,"B6",1959
"74",-6,"AA",1929
"75",-1,"DL",1919
"76",1,"B6",1242
"77",2,"UA",932
"78",25,"EV",1228
"79",-3,"AA",727
"80",-6,"B6",614
"81",9,"EV",1319
"82",-8,"DL",1127
"83",1,"B6",2147
"84",8,"UA",739
"85",25,"MQ",1420
"86",-6,"AA",1459
"87",-5,"EV",824
"88",-4,"DL",1141
"89",18,"EV",947
"90",32,"EV",837
"91",-8,"US",1012
"92",-6,"DL",1809
"93",0,"B6",730
"94",-4,"UA",632
"95",23,"B6",953
"96",-6,"B6",930
"97",1,"DL",1600
"98",2,"US",732
"99",0,"UA",1015
"100",3,"AA",1738
"101",8,"9E",1913
"102",6,"B6",1503
"103",-6,"B6",1440
"104",3,"UA",1402
"105",-4,"EV",1634
"106",-8,"AA",652
"107",-9,"B6",551
"108",4,"UA",1939
"109",-2,"DL",1013
"110",NA,"MQ",NA
"111",-10,"AA",1900
"112",35,"EV",2030
"113",-4,"DL",656
